Daily_returns,WTI,Copper,Gold,Bitcoin,Eurusd,Nasdaq,S_P,Dax,Ftse100,Nikkei_225,AMD,Germany_10y,US10y,PF
Week122,2.8,0.9,10.1,81.4,1.8,15,10.5,2.5,0.7,4.6,36.8,4.9,9,36.2
Week123,0.4,0.4,9.5,78,1.6,14.1,9.9,2,0.6,4,35.3,4.9,9.4,34
Week124,0.3,0.8,9.5,77.6,2,15,10.4,3,0,4.6,37.3,4.4,8.7,34.7
Week125,1.3,1.5,9.6,76.2,2.3,15.3,10.8,3.8,0.3,5.6,39.3,4.3,8.3,35.7
Week126,1.5,1.6,9.8,82.4,2.3,16.1,11.3,4.2,0.6,6,41.6,4.2,8.3,38
Week127,2.6,1.9,9,81.6,2,16.7,11.8,5.1,1,6.8,44.4,3.9,7.6,38.9
Week128,2.5,1.3,9,78.6,2,17,12.1,5.1,0.7,6.7,47.3,4.1,8.1,38.9
Week129,3.2,1.5,8.8,73.9,2,17.2,12.2,5,0.7,6.5,47.9,4.2,8.7,38.4
Week130,2.4,1.6,8.9,73.7,2,17.4,12.3,4.8,0.5,6.8,47.4,4.1,8.7,38.1
Week131,3.9,2.6,8.9,73.2,2.1,17.5,12.4,4.8,0.1,6.8,47.6,4,8.4,38.5
Week132,4.8,3.4,9.1,71.5,2.3,18.2,13,5.3,1.3,7.6,50.3,3.9,8.1,39.7
Week133,5.3,3.6,9.6,72.7,2.3,18.9,13.5,5.3,2.1,7.5,52.5,3.8,7.9,41
